Tag	Treat_1	Treat_2	Treat_3	Model_1	Model_2	Model_3
NR1D2	319.5032285	249.6163467	262.6625655	444.2645969	431.3943224	462.3877241
SRGAP2C	263.4672777	232.5055488	222.9951577	390.385699	379.7065234	386.1275358
ECHS1	3236.321933	3616.417475	3905.631535	2524.746252	2791.141146	2482.800055
PLEKHA1	706.8394501	687.4514711	558.5599863	971.7106502	935.3503626	969.1801148
MOGAT2	393.2347428	424.7503965	498.5228284	263.7230267	274.3429331	280.9077823
PSMB5	7073.309936	9576.007754	9039.880622	5870.909386	6273.109605	5838.248341
NDUFV1	3402.463612	3600.313195	3294.539036	2607.927708	2648.005702	2621.805968
PNPLA6	2378.087107	2477.039634	2332.872419	1829.992042	1740.487232	1861.134722
NDRG2	1317.336388	1549.030474	1599.561419	970.7654064	1045.683934	1110.116665
FNIP1	234.9577588	218.4143034	189.7603024	355.4116775	332.9887051	371.6477532
CCDC85B	1347.812081	1502.730668	1474.126643	880.9672432	1104.329705	1031.925839
CP	527.9176422	411.6656686	364.5113154	731.6187191	678.8993599	665.1046804
